,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3230,2015-03-24,75.68515365175566,1.045078776067013,150.1433804704056,75.68515365175566,75.68515365175566,-2.9969894831333237,-2.9969894831333237,-2.9969894831333237,-0.0073355175435404875,-0.0073355175435404875,-0.0073355175435404875,-2.9896539655897834,-2.9896539655897834,-2.9896539655897834,0.0,0.0,0.0,72.68816416862234
3231,2015-03-25,75.74789338443567,1.554805398694325,148.16718837875123,75.74789338443567,75.74789338443567,-2.8379568610091335,-2.8379568610091335,-2.8379568610091335,-0.12239914247282094,-0.12239914247282094,-0.12239914247282094,-2.7155577185363122,-2.7155577185363122,-2.7155577185363122,0.0,0.0,0.0,72.90993652342654
3232,2015-03-26,75.81063311711564,1.4575774830156174,149.16266596944317,75.81063311711564,75.81063311711564,-2.4250918098362004,-2.4250918098362004,-2.4250918098362004,-0.010938039846474689,-0.010938039846474689,-0.010938039846474689,-2.4141537699897255,-2.4141537699897255,-2.4141537699897255,0.0,0.0,0.0,73.38554130727944
3233,2015-03-27,75.87337284979564,-1.6783124129330929,150.56736597259635,75.87337284979564,75.87337284979564,-3.0234902390833214,-3.0234902390833214,-3.0234902390833214,-0.9328388400160639,-0.9328388400160639,-0.9328388400160639,-2.0906513990672573,-2.0906513990672573,-2.0906513990672573,0.0,0.0,0.0,72.84988261071233
3234,2015-03-30,76.0615920478356,5.248952965251111,144.69013868524505,76.0615920478356,76.0615920478356,-0.9196019545430432,-0.9196019545430432,-0.9196019545430432,0.1268980020887556,0.1268980020887556,0.1268980020887556,-1.0464999566317987,-1.0464999566317987,-1.0464999566317987,0.0,0.0,0.0,75.14199009329256
3235,2015-03-31,76.12433178051562,2.66836459443618,147.90359131773553,76.12433178051562,76.12433178051562,-0.7025494263474786,-0.7025494263474786,-0.7025494263474786,-0.007335517545145923,-0.007335517545145923,-0.007335517545145923,-0.6952139088023328,-0.6952139088023328,-0.6952139088023328,0.0,0.0,0.0,75.42178235416814
3236,2015-04-01,76.18707151319559,5.182229943321522,141.07935027175378,76.18707151319559,76.18707151319559,-0.4758456259067104,-0.4758456259067104,-0.4758456259067104,-0.12239914247323563,-0.12239914247323563,-0.12239914247323563,-0.3534464834334748,-0.3534464834334748,-0.3534464834334748,0.0,0.0,0.0,75.71122588728888
3237,2015-04-02,76.24981126323031,2.5650291032107297,148.10624281445513,76.24981126323031,76.24981126323031,-0.03887571084913017,-0.03887571084913017,-0.03887571084913017,-0.010938039847582301,-0.010938039847582301,-0.010938039847582301,-0.027937671001547867,-0.027937671001547867,-0.027937671001547867,0.0,0.0,0.0,76.21093555238119
3238,2015-04-06,76.50077026336925,2.634458811389009,147.74908619909618,76.50077026336925,76.50077026336925,1.1103471292978644,1.1103471292978644,1.1103471292978644,0.12689800208775212,0.12689800208775212,0.12689800208775212,0.9834491272101124,0.9834491272101124,0.9834491272101124,0.0,0.0,0.0,77.61111739266711
3239,2015-04-07,76.56351001340394,1.4868732166801881,150.82133294752552,76.56351001340394,76.56351001340394,1.1275752700886923,1.1275752700886923,1.1275752700886923,-0.007335517544463673,-0.007335517544463673,-0.007335517544463673,1.134910787633156,1.134910787633156,1.134910787633156,0.0,0.0,0.0,77.69108528349264
